text,rating_1,rating_2,rating_3,rating_4,rating_5
"
 Kids eat free on Wed night. Place has a strange layout so if someone has their chair out too far the server can't get through. Tableside guacamole is good but pricey for what you get. Both the carne asada and chipotle chicken were super salty. They were very free with the chips and salsa, though. ",0,0,1,0,0
"
 I probably have to say, this is like a dream world for me. This is probably one of my favorite Electronic stores to be in. Fry's Electronics, basically has it all, wall to wall electronics, name it, they probably have it. Knowing that I had to go to this store for an External Hard Drive at a decent price, is all I need for this trip. Just stepping inside Fry's Electronic, I feel like a kid in a candy store. My head is bobbling all over the place, and just pointing at things, that I have no clue what they are, and smile at it. Of course in the back in my mind, I'm saying ""I want this, I want that, hmmm where can I use this."" But my main focus was External Hard Drive and get out. I was able to find the Hard Drive section but had issues finding External Hard Drive, since its wall to wall Hard Drives, that just makes it kind of hard to find which one I really need. But I was relieved when I was approached by a sales rep who showed me where the External Hard Drive was and showed me one that was on Sale. Of course I was sold, and satisfied with the product. I was so ready to get to the check out, till my wife wanted to find some hair straightener on the other side of Fry's. Of course I didn't mind at all, going to find a straightener, but we never really got a straightener that she wanted. But we ended up doing more window shopping. Found a lot of massagers, excellent cookware, deep fryer machines, hot dog machines, I was even drooling over the cotton candy machine. The more I stayed in the store, the more I want to look around, so I did. I'm also into the whole computer animation, where I notice that they had programs that I really wanted to get. I know some software's may not be sold in store, but the fact that they had a lot of Adobe software and other software's that might be helpful, just made me drool even more. But what really got me, was the fact that I saw this computer tower which wasn't like any other computer tower and wondering if they had that tower itself on sale. So I decided to browse around the computer section, even though I was there at the beginning to start with. Just decided to take a loop back into the computer section and see what they had. Cause someday I wanted to build my own tower, with the components that I really want to get. But I notice my wife was getting tired of walking around and sitting in the chairs they had out on display. Which was basically a sign for us to get out of here, otherwise I'll probably drool over everything and don't know when we'll leave. I guess that whole aspect of "" get External Hard Drive and get out"" didn't really go as planned. Now, all that for an External Hard Drive. That should tell you, that Fry's is an amazing place, especially if your into the whole electronic world. For me, this has to be the best place to buy my components for a new computer when that time comes. It has everything I need, and maybe have something for the wife too. Over all, the best wall to wall Electronic store out there. Very well recommended. ",0,0,0,0,1
"
 Had a nice little meal here the first night of a conference I attended. I've been to the one in Chicago, and liked it, and there aren't any real complaints here, either. Started with the baked goat cheese and tomato sauce. It was tasty, but I'm a sucker for any type of goat cheese-based dish. My main course was the scallop dish, and while there were 5 scallops on my plate, they were paired with a few measly mushrooms and it just didn't go well together. The view was great, though - we sat instead by right by the windows facing the Bellagio. It was like dinner and a show. ",0,0,1,0,0
"
 I like the new feel of this store. More open and friendly than some other Harris Teeters. I find that the meat and deli area to be very helpful and clean. ",0,0,0,0,1
"
 Pretty cool spot, but as previously mentioned, it can get super packed. Forget about getting a table for high profile games ... and getting a table on a Saturday or Sunday during football season ain't gonna happen! Luckily we flew in to Vegas around 4:00 on a Thursday, so we were basically grabbing dinner since we were still on east coast time. The only action going on was a divisional playoff baseball game, so it wasn't too crowded. They have stadium seating (hence the name of the restaurant), so almost impossible for anyone to be in your way while watching the multiple big screens on the wall. That didn't affect us anyway, as we sat on leather couches/benches in a lounge area that had its own personal television. The only downside was that they supposedly accommodate 6 to 8 people, but give you a small slender table meant to hold food for about 3 people. This was not acceptable considering we had drinks, a couple appetizers, silverware, and eventually the entrees. One other thing to mention about this place ... alongside the big screens were current betting odds, which was kinda cool. Service was ""mehhh"" ... they weren't very attentive to refills, requesting extra napkins, extra ketchup, etc. As for the meal, not a great selection of beers, but they did have a few ""beer bucket"" specials. The reason for three (3) stars instead of two (2) is striclty based on the pretzel and beer cheese ... yum. My entree (pastrami sandwich) and side of onion rings were rather average ... good, but average. My Quick and Dirty review: Atmosphere - Pretty cool (other than the tiny tables used in the lounge area seating) Service - Poor Food - Average (except pretzel & beer cheese, which was exquisite) Summary - Good spot if you want to keep track of 4+ sporting events, but I enjoyed the Public House more. They are a short walk down towards the Venetian ... better menu, better drink selection, and more comfy seating. Fewer TVs, but if you grab a seat at the bar (or lounge area), it's easy to settle in. ",0,0,1,0,0
"
 This is hands down the most thrilling ride on the Stratosphere, beating out the kinda boring SkyJump by far as well as the stupidly glorified ""merry-go-round"" called Insanity and the barely okay X-Scream. I love how it's not just a drop tower, but it reverses the speedy vertical movement.... you shoot up fast (just 45 miles per an hour but going up that speed is a very different sensation than going down that speed which would be kind of boring) so that you feel some weightlessness and then you drop down fast and continue this movement 3 times or so but at shorter lengths. The fact that the ride is on top of the Stratosphere did not make a difference in the thrill to me because you have a whole lot of ground on top of the building to see that detracts from the fact that you're up so high. Plus, I don't think it would matter much otherwise. This ride would be just as good on ground level. Overall, it's a good ride that just barely makes it 4 stars. It's more like a 3.5 stars, but I rounded it. It could always be much bigger, faster, and not shorten the additional bouncing so much. But then, it would probably scare off too many other people, and they wouldn't have nearly as much business. ",0,0,0,1,0
"
 This was the first Mexican restaurant in Scottsdale that I tried. It was close to home, we had been shopping all day, and decided to try it for a late lunch. I was disappointed - not because the food was bad, but because it wasn't much different than most of the Mexican restaurants in Spokane. I was hoping for something more adventurous, more authentic, and not the Americanized Mexican food that is prevalent in Washington. That said, the food was as advertised, and was good for what it was. The lunch special price was pretty much standard for the area, and the servings were large. I did look at the individual items on the menu, and noticed the prices seemed high. But since this was the first restaurant that we went to in Scottsdale, I just figured it was the area. The service was good, and the waitress was very friendly. To show how unimpressed I was, this is only about a half a mile from my place, and I have yet to find a reason to go back. Again, the food wasn't bad, but I would rather drive to restaurants with more authentic and adventuresome recipes. ",0,0,1,0,0
"
 I've stayed here 4 times in a span of about 7 years. Same old dive each time, and I've returned each time mainly because of unbeatable cost, considering its prime location in the middle of the new strip. You know: save bundles on room, splurge on meals. With the last visit, however, I think I may have exhausted my patience and tolerance for the fact that they have always booked me in a smoking room every time I reserved a non-smoking room. And -- each time -- upon checking in, they insist that I reserved a smoking room. Customer service skills are non-existent here. They don't always service/clean the rooms daily. The rooms are about par with a C-grade Motel 6 and always leave at least one lasting memory. On my last visit, it was the greasy soiled fabric on the headboards. Lovely. Then they charge you $2 for the phone even if you never picked it up? WTF?? Is that now a universal thing with all the strip casino hotels? How Vegas indeed. That's it, I've had it. ",0,1,0,0,0
"
 This is the budget breaker type of restaurant. First class service, food quality far above any other sushi restaurant and the obnoxious pricing to go with it. To leave there with a little buzz on and our stomachs not satisfied nor full, we spent just under $180 for two people. The chefs are very traditional and slightly pretentious with little to no conversation to the patrons. The wait staff is very attentive and helpful. Perfect service and accommodation. I would have given this place 5 stars all day long if the prices were more in line with what they are giving you. $14 for 3 pieces of sashimi seems unreasonable to me. ",0,0,1,0,0
"
 Yum!!!! Of course I had to come with all Asians to appreciate this place. I really have little clue the name of the things they ordered but I enjoyed IT ALL! My favorite \ u00bf? a Taro/Duck fried cake they have! just amazing. There is a complementary soup they serve before everything and that is a MAJOR PLUS! So get your Cantonese speaking friend and enjoy!! ",0,0,0,1,0
