text,rating_1,rating_2,rating_3,rating_4,rating_5
"
 I'm a 21 year old male from Texas who just created a yelp for the sole purpose of upping this rating. Zarkana is the only cirq show that I have ever seen and I can't believe the poor reviews it is getting. Granted I have nothing to compare it to so maybe my 5 stars are because It is the only one I have seen. So to those who have never seen a cirq show, you will have an amazing time. Music: 5/5 The thing that stood out to me the most was the live music. It was incredible. The lead female character has the best singing voice I have ever heard. The noises that came out of her beautiful face made me want to cry and laugh at the same time. At other times the music pumped me up the same way rocky balboa gets pumped up to ""Eye of the Tiger"" by survivor. Right when you think it can't get better, BAM, The drums lead into a shredded guitar solo, and the acrobats perform their most difficult tricks. If this show was just a concert with no acts I would still have given it 5 stars. Acts: 5/5 Very intense at times, and majestic at others. My favorite was the wheel of death because of how scary it is to watch, but all were impressive. I was gnawing at my fingernails like there's no tomorrow. The story: ?/5 I have absolutely no idea what was happening with the story but this didn't keep me from being drawn in. This is where I can see how cirq goers would knock a star off. The clowns: 3/5 Pretty annoying but sometimes funny. Mostly annoying though. I kinda wanted to slap him. If you hate having fun, this show is not for you. ",0,0,0,0,1
"
 Guys, I hate whiskey but will drink Wigle. From my up-front honesty, I'll say Landlocked Spiced and Giniver are two of my absolute favorite drinks right now. The staff is extremely inviting and knowledgeable on each of the spirits in their collection. My favorite combos are the Landlocked Spice with limeade and aromatic bitters OR with ginger beer. Can't go wrong with these guys! ",0,0,0,0,1
"
 I've been checking out the different food trucks at Phoenix Public Market's Food Truck Fridays. Note: Be ready for a wait at all of the trucks. But on a beautiful spring afternoon, it's not a bad thing. Today I tried Jamburritos for the first time. They had an interesting and wide selection of items, from fried catfish to creole chicken quesadillas. I chose the chicken K-Tacos. Three spicy chicken street tacos with cabbage and black bean salsa. Wow. Great flavor. Enough spice to clean out my sinuses without fear of burning my taste buds. The guy taking orders was cheerful and pleasant. I also enjoyed the variety of beverages available. I chose a Tamarind soda. Yum. I'm looking forward to trying more items on the menu before Food Truck Friday ends when the heat rises. ",0,0,0,1,0
"
 I bought a Kitchen Aid Mixer on December 6th at the Kitchen Collection Store at the Outlet Mall in Carlsbad, CA. It was given to my son and his wife for Christmas. When they got it out of the (NEW) box to use it, as the beaters turned, it made grinding noises. I called the KC in Carlsbad and explained what happened and that my son lives in Phoenix. They said to take it in with the receipt to any of the Arizona KC stores. My son and his wife and baby took a 40 mile trip to go to the Kitchen Collection store at Anthem. The experience they had was way less than pleasant. After lugging the Mixer in and presenting it (in the box with everything it came with) and the receipt to the person workiing at their register, my son was told that they don't take returns or exchanges on the kitchen aid items. My son told her what I had been told and also showed her on the bottom of the receipt that stated they DO accept returns and exchanges and she told him it was Company Policy not to do so on Kitchen Aid appliances. He asked if she had that policy in writing and she said ""NO, it is an understood policy and is not in writing."" After trying to talk with her and ask to speak with someone else, she was still rude. They were not nice and not helpful and did not follow the policy stated on their receipt. My son left with his Kitchen Aid Mixer, went home, called Kitchen Aid's 800 number and they are sending him a new one. Sad experience and the money I would have saved with a rebate, was spent on gas. ",1,0,0,0,0
"
 I've eaten here many times and am never sorry I did afterwards. And now I see they are opening one in Ahwatukee right near where I live! Can't wait till that one opens. ",0,0,0,1,0
"
 I stopped by for some late lunch, so the place only had about 4 other clients in it. I am a friendly person, so I strode in and with a big smile, saying ""Bonjour! Hello!"" The girl behind the counter could barely take her eyes off her phone. I told her that I am allergic to gluten, and asked if the tacos were corn or flour. She responded (still barely looking up from what she was doing) and then I ordered a bowl. I then asked her if it had cilantro in it, to which she asked me if I was allergic to that too, but with a nasty look on her face (I realize I sound ridiculous in this scenario, but how do you write a review about someone's tone without sounding like a spoiled brat?;) I said no, not allergic, but I don't like it and I would rather not have it, so she then begrudgingly went to ask the chef. I was so put off, that I changed my mind right there and left. This part is so obvious, but it's what prompted me to write this review. I've worked in customer service and interaction with the clientele is a huge part of your business. A smile, a nice warm welcome, enthusiastic, or at the least helpful, staff is the bare minimum in my book. I realize she might have been having a bad day, but I had too, my beloved mother had just passed away suddenly 4 days prior. As she would say, (with her delightful British accent) ""Socks up girl!"" ",1,0,0,0,0
"
 Found what I need at a price much lower than any I could find anywhere else. They worked just fine, and then we swapped them out. Plus, they recycle EVERYTHING - even the boxes the cartridges come in, gotta love that. They have always been quick and courteous. I just bring in the old ones and they do the rest. Perfect for us small business owners! ",0,0,0,0,1
"
 the sun shines again when i eat a rito's green chili burrito, and double rainbows appear when i eat the tacos. ",0,0,0,0,1
"
 Whenever I think of Lenny's Burger, I think of that urban myth about ecstasy. You know the one. ""If you have sex on ecstasy, you'll never be able to enjoy it sober."" Why, because the experience is that intense, or because you're brain has been so fried that you can't realize you've spent the last twenty minutes trying to fondle a rock? And why the fuck are you dropping this on me now? Like I'm not stressed out enough worrying about how a ouija board works and whether or not Mountain Dew depletes your sperm count. Shut up, you. Lenny's Burger is the ecstasy of hamburger joints. You go in there not expecting much. Perhaps even a little condescending because you're so fucking spoiled you don't know any better. ""Ha! Look at this ironically low-end establishment! Why, they don't even have a value menu! Bush league! Oh, how cute. They expect you to pump your own condiments. What, couldn't afford the little packets? Ha. This shall be a good laugh."" And then you order, I don't know, for argument's sake, a double-patty chili burger. And fries. And let's just say that, for shits and giggles, you fill your drink cup up with horchata, because it's my fucking scenario. You bring your order back to your table. Ha. How quaint. Burgers served in a noisy steamy cafeteria setting. How retro. One minute you're biting into a slab of meat in between some bread. And the next you're in fucking Willy Wonka land. Your taste buds suddenly become Charlie and Veruca and Augustus. HOLY SHIT THIS BEEF TASTES LIKE IT CAME FROM A REAL ANIMAL! AND THIS CHILI'S FRESH! THE BUN IS TOASTED! JESUS TAPDANCING CHRIST, THESE ARE THE MOST AMAZING FRIES EVER! I'VE NEVER HAD BURGER JOINT FRIES THIS GOOD! AND THIS HORCHATA FUCKING ROCKS! IT TASTES JUST LIKE I IMAGINE HORCHATA WOULD TASTE! And believe me, muchachos, if there were snozberries on that burger, they would taste like snozberries. By the time you've finished your burger, you already crave one again. You spend the next few weeks trying to convince your friends to try it with you. ""Dude, you have to try this burger place. They have the most amazing fuck me burgers ever! Seriously."" ""Nah, man. I'm good."" WHAT!? Bitch, you did not just turn down a suggestion from an Elite! Weeks later, you find that nobody wants to try this place. Because they're all trying to get clean. They're trying to cut back on the fast food. Get on a good diet, go vegan, cut out the refined sugars and carbs or whatever the fuck it is that people with a nutrition book do. It's not you. They're not turning YOU down. They just know. They know because they've seen it happen. One Lenny's Burger and suddenly they're lives will go out of control all over again. One bite of a double-patty country burger with cheese and chili fries and suddenly they'll start double-dipping and eating right before they go to bed, and years from now they'll be wearing those electronic belts that zap the fat off of you while they get their cry on to a very special episode of Maury Povich. It's just you and Lenny's now. You'll do your best to be stoic about it. Eating alone while tables of laughing hipsters and married couples enjoy their hearty meal, stopping to give you the occasional look as they slowly decide in their minds what could possibly be so wrong with you as to force you to eat your meals alone. ""Just come with me once. I'll pay for it."" ""No thanks. I'd rather do McDonald's."" ""WHAT!? Didn't you watch Super Size Me?"" ""Actually, I just did. Now I want a Big Mac."" ""Fine...just this once."" Go on, buddy. Try and enjoy that, what do they call it, a Large N' Delicious? A Royale With Cheese? Yeah, I'm sure you like it going in, let's see how you like it coming back out. Your stomach/intestines aren't fooled. It wants the good shit. It's not going to settle for this ""McBullshit"" you're trying to feed it. Just deal with it. You've been bought and paid for by Lenny's Burger Shop. You are Bitch Numero Uno. Awww, don't cry. Ronald McLittleKid'sNightmare didn't like you anyway. But Lenny's Burger, Lenny's will always love you. It will always be there for you. It will never judge you, and will even forgive this little ""selling out"" phase you went through. It's okay. We all make mistakes. Now...would you like cheese with that? Hopefully today you have learned something, and understand the downward spiral that is consumption of actual food. Be good, stay in school, listen to your parents, and remember, what doesn't give you high blood pressure and diabetes will only make you stronger. ",0,0,0,0,1
"
 I have been a regular customer at the Phoenix location for many years. My mom introduced my family to this restaurant over 10 years ago I personally have always loved the food and always thought it was the best combination of my two favorite foods. Let me start off by saying this place is so hard to find! I went in the evening an it's located in a business park with only one sign and the front of the restaurant is not well lit so forget about patio dining. With that being said I tried this location since I recently moved to the east valley. I ordered my usual carnitas quesadilla, jade red chicken, chicken fried rice and refried beans. Let just start off to say the beans were canned and none of the food was hot maybe a little warm. I was not impressed with the jade red chicken it didn't taste like what I remember it wasn't even red, it was more like a sad version of pandas orange chicken. The quesadilla had very little cheese and some carnitas which tasted good but was dry from the lack of cheese. Overall the whole meal was a disappointment mostly because I'm so use to the Phoenix location and the quality of food is not the same at all! I will continue to go to the Phoenix location but will never go back the this one. ",0,1,0,0,0
